Domain Code,Domain,Area Code,Area,ISO Currency Code,Currency,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1988","1988","","237.1","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1989","1989","","299.1","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1990","1990","","394.2","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1991","1991","","511.7","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1992","1992","","655.1","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1993","1993","","890.083","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1994","1994","","1221.7","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1995","1995","","1725.8","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1996","1996","","2194","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1997","1997","","2779.5","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1998","1998","","3206","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","1999","1999","","4172","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2000","2000","","5731","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2001","2001","","6163.4","X","International reliable sources","Data from UNSD AMA"
"PE","Exchange rates - Annual","102","Iran (Islamic Republic of)","IRR","Iranian Rial","5540","Standard local currency units per USD","2002","2002","","6907.0493","X","International reliable sources","Data from UNSD AMA"
