Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1977","1977","tonnes","178000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1978","1978","tonnes","133000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1979","1979","tonnes","99000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1980","1980","tonnes","57000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1981","1981","tonnes","78000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1982","1982","tonnes","94000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1983","1983","tonnes","91000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1984","1984","tonnes","112000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1985","1985","tonnes","106000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1986","1986","tonnes","111000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1987","1987","tonnes","106000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1988","1988","tonnes","116000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1989","1989","tonnes","114000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1990","1990","tonnes","119000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1991","1991","tonnes","118000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1992","1992","tonnes","101000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1993","1993","tonnes","90000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1994","1994","tonnes","123000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1995","1995","tonnes","165000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1996","1996","tonnes","176000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1997","1997","tonnes","137000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1998","1998","tonnes","142000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","1999","1999","tonnes","140000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2000","2000","tonnes","160000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2001","2001","tonnes","130000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2002","2002","tonnes","109000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2003","2003","tonnes","113000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2004","2004","tonnes","134000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2005","2005","tonnes","115000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2006","2006","tonnes","90000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2007","2007","tonnes","97000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2008","2008","tonnes","92000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2009","2009","tonnes","78600","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2010","2010","tonnes","72000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2011","2011","tonnes","73400","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2012","2012","tonnes","52000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2013","2013","tonnes","50000","F","FAO estimate"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","767","Cotton lint","2014","2014","tonnes","65000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1961","1961","tonnes","208175","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1962","1962","tonnes","168557","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1963","1963","tonnes","224341","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1964","1964","tonnes","218416","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1965","1965","tonnes","273490","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1966","1966","tonnes","206813","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1967","1967","tonnes","211223","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1968","1968","tonnes","288000","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1969","1969","tonnes","300000","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1970","1970","tonnes","288000","","Official data"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1971","1971","tonnes","257000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1972","1972","tonnes","336000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1973","1973","tonnes","344000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1974","1974","tonnes","400000","*","Unofficial figure"
"QD","Crops processed","102","Iran (Islamic Republic of)","5510","Production","329","Cottonseed","1975","1975","tonnes","263000","*","Unofficial figure"
